등록일,제목,링크
2023-02-28,2023년 지역·산업맞춤형 일자리창출 지원사업 「에너지산업 실무 인재양성」모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2409
2023-02-28,삼성생명 금융아카데미 3월 참여자 모집(금융권 취업 희망자),https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2408
2023-02-24,2023년 Flutter 1기 포트폴리오 과정 내 대학생 디자이너 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2407
2023-02-23,2023 국립남도국악원 공연 평가 모니터링단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2406
2023-02-22,2023년 제15기 대한민국 바로알림단 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2405
2023-02-22,'뿌리깊은세계유산' 한국인 및 외국인 강사 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=5&mode=view&idx=2404
2023-02-22,[(재)녹색에너지연구원] 2023년 청년도전지원사업 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2403
2023-02-21,2023년 광산구장애인복지관 자원봉사자 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2402
2023-02-20,2023 서울동행 대학(원)생 멘토링 봉사활동 참여 신청 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2401
2023-02-17,"제47회 IDP유학박람회(영국,호주)",https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2400
2023-02-15,[스나이퍼팩토리] 2023년 Flutter 모바일 어플리케이션 부트캠프과정 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2398
2023-02-14,[ICN Group] 미국 단기/장기 태권도 인턴십 프로그램 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=6&mode=view&idx=2396
