등록일,제목,링크
2023-03-09,학술문화정보원 관련 규정 제ㆍ개정 (안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=4&mode=view&idx=19706
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=14618
2023-03-09,국제교육원 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19704
2023-03-08,[학생상담센터] 2023학년 1학기 학생상담센터 집단 프로그램 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19702
2023-03-08,학사지원팀 관련 규정 제ㆍ개정 안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19701
2023-03-08,원격교육지원센터 관리 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19699
2023-03-08,[CTL] 2023학년도 1학기 학생 간 학습공동체 프로그램 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19698
2023-03-08,교육성과관리센터 관련 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19696
2023-03-08,혁신지원실 관련 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19695
2023-03-08,비교과교육지원센터 관련 규정 개정(안) 공고,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19694
2023-03-07,2023학년도 학생증 발급 안내 (신규 · 재발급),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19687
2023-03-06,2023년 기업분석경진대회 참여학생 모집,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=5&mode=view&idx=19676
2023-03-17,2023학년도 동신대학교 쇼츠 공모전 'E들의 전쟁' 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19764
2023-02-08,동신 클라우드(구글 서비스) 용량 제한 정책 협조 안내,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=19527
2022-02-14,"[필독]학습관리시스템(LMS) 접속방법 안내(PC, 모바일)",https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=17851
2020-05-06,학교버스 위치알림 서비스(BIS) 앱 사용자 설명서(패스워드 변경),https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=14677
2020-04-29,대학생-교직원 복지몰 'YGOON 교육할인스토어' 소개,https://www.dsu.ac.kr/kr/index.php?pCode=notice&pg=6&mode=view&idx=14618
